Fond,ISIN,Fond Bolag,Region,Kategori,ID
Länsförsäkringar USA Indexnära,SE0002793943,Länsförsäkringar,,,181108
Mirae Asset Asia Great Consumer Eq A USD,LU0593848301,Mirae,,,374855
Mirae Asset China Sector Leader Eq A USD,LU0336295752,Mirae,,,202408
Mirae Asset GEM Sector Leader Eq A USD,LU0413497198,Mirae,,,204694
Mirae Asset Korea Equity A USD,LU0336294433,Mirae,,,202315
Mirae Asset Sst India Sect Ldr Eq A USD,LU0336297295,Mirae,,,340280
Mirae Asset Sustainable AsiaPac Eq A USD,LU0336300859,Mirae,,,202311
Mirae Asst Sst Asia Sect Ldr Eq A USD,LU0336299408,Mirae,,,431056
MS INVF Asia Opportunity A,LU1378878430,Morgan Stanley,,,691674
MS INVF Developing Opportunity A,LU2091680145,Morgan Stanley,,,1214803
MS INVF Emerging EMEA Equity A,LU0118140002,Morgan Stanley,,,2191
MS INVF Emerging Leaders Equity A,LU0815263628,Morgan Stanley,,,370857
MS INVF Emerging Mkts Corp Debt A,LU0603408039,Morgan Stanley,,,289817
MS INVF Emerging Mkts Domstc Dbt A USD,LU0283960077,Morgan Stanley,,,84671
MS INVF Emerging Mkts FI Opps A,LU1258507315,Morgan Stanley,,,691677
MS INVF Europe Opportunity A,LU1387591305,Morgan Stanley,,,691675
MS INVF European Fixed Inc Opps A,LU1109965605,Morgan Stanley,,,590078
MS INVF European HY Bd A,LU0073255761,Morgan Stanley,,,909
MS INVF Global Asset Backed Secs A USD,LU0858068074,Morgan Stanley,,,396355
MS INVF Global Balanced Income A,LU1078119317,Morgan Stanley,,,590079
MS INVF Global Balanced Sus A EUR Acc,LU2135297146,Morgan Stanley,,,1214804
MS INVF Global Brands A USD,LU0119620416,Morgan Stanley,,,71318
MS INVF Global Fixed Income Opps A,LU0694238766,Morgan Stanley,,,330057
MS INVF Global High Yield Bond A,LU0702163295,Morgan Stanley,,,326700
MS INVF Global Infrastructure A,LU0384381660,Morgan Stanley,,,240788
MS INVF Global Insight A,LU0868753731,Morgan Stanley,,,409832
MS INVF Global Opportunity A,LU0552385295,Morgan Stanley,,,273630
MS INVF Global Property A USD,LU0266114312,Morgan Stanley,,,70668
MS INVF Global Quality A,LU0955010870,Morgan Stanley,,,431316
MS INVF Global Sustain A USD Acc,LU1842711845,Morgan Stanley,,,1214805
MS INVF Indian Equity A,LU0266115632,Morgan Stanley,,,84669
MS INVF Latin American Equity A,LU0073231317,Morgan Stanley,,,70220
MS INVF Sustainable Asia Equity A,LU0073229253,Morgan Stanley,,,70879
MS INVF Sustainable Emerging Mkts Eq A,LU0073229840,Morgan Stanley,,,70206
MS INVF Sustainable Euro Corp Bd A,LU2198663994,Morgan Stanley,,,1214806
MS INVF US Advantage A,LU0225737302,Morgan Stanley,,,84666
MS INVF US Dollar High Yield Bond A,LU1134226965,Morgan Stanley,,,590080
MS INVF US Dollar Short Dur HY Bd A,LU1134225132,Morgan Stanley,,,590081
MS INVF US Growth A USD,LU0073232471,Morgan Stanley,,,70331
MS INVF US Property A,LU0073233958,Morgan Stanley,,,70211
Naventi Balanserad Flex,SE0004357051,Naventi Fonder AB,,,331222
Naventi Defensiv Flex,SE0004545747,Naventi Fonder AB,,,346775
Naventi Global Företagsobligationsfond,SE0010440941,Naventi Fonder AB,,,1198824
Naventi Offensiv Flex,SE0004357069,Naventi Fonder AB,,,331224
Navigera Aktie 1,SE0002278770,Navigera,,,165269
Navigera Balans 1,SE0002278754,Navigera,,,165268
Navigera Global Change,SE0008406219,Navigera,,,661875
Navigera Tillväxt 1,SE0002278739,Navigera,,,165270
Nordea 1 - Alpha 10 MA Fd HB SEK,LU0445386443,Nordea,,,202870
Nordea 1 - Asian Stars Eq Fd BP - SEK,LU2206517380,Nordea,,,1132203
Nordea 1 - Asset All Fd Fut Sub-Fd C SEK,LU0087941117,Nordea,,,208
Nordea 1 - Chinese Bd BP SEK,LU1224685344,Nordea,,,1038778
Nordea 1 - Emerging Mkt Corp Bd HB SEK,LU0637305300,Nordea,,,383302
Nordea 1 - Emerging Stars Equity BP SEK,LU0602540527,Nordea,,,302887
Nordea 1 - European Corporate Bd HB SEK,LU0402780950,Nordea,,,156028
Nordea 1 - European Covered Bond HB SEK,LU1548767661,Nordea,,,949324
Nordea 1 - European High Yld Bd HB SEK,LU0390857802,Nordea,,,155010
Nordea 1 - European Sm&Mid Cp Eq BP SEK,LU0087942271,Nordea,,,972
Nordea 1 - European Stars Equity BP SEK,LU1706106959,Nordea,,,1148786
Nordea 1 - Flexible Fixed Income HB SEK,LU0915366768,Nordea,,,680575
Nordea 1 - Gl Climate and Soc Imp BP SEK,LU2355687729,Nordea,,,1295739
Nordea 1 - Glb Gender Diversity BP SEK,LU1939215585,Nordea,,,950780
Nordea 1 - Global Disruption BP SEK,LU1941812726,Nordea,,,1107932
Nordea 1 - Global Listed Infrastr BP SEK,LU2057980059,Nordea,,,1047826
Nordea 1 - Global Small Cap BP SEK,LU1029331920,Nordea,,,470488
Nordea 1 - Global Social Empow BP SEK,LU2293905118,Nordea,,,1214802
Nordea 1 - Global Stable Equity BP SEK,LU0236490636,Nordea,,,419901
Nordea 1 - Latin American Equity BP SEK,LU0309470028,Nordea,,,420143
Nordea 1 - Long Duration US Bd BP SEK,LU2017792438,Nordea,,,974382
Nordea 1 - Low Dur Eurp Cov Bd HB SEK,LU1694213312,Nordea,,,950781
Nordea 1 - US Corporate Bond HB SEK,LU0458980835,Nordea,,,219388
Nordea 1 - US High Yield Bond HB SEK,LU0390858958,Nordea,,,155009
Nordea Asian Stars A SEK,FI4000048970,Nordea,,,409833
Nordea Global Dividend Acc,FI4000064076,Nordea,,,430355
Nordea Global Passiv Tillväxt SEK,FI4000046685,Nordea,,,380137
Nordea Indienfond,FI0008813241,Nordea,,,43947
Nordea Innovation Stars Fund AG-SEK,FI4000439625,Nordea,,,1120416
Nordea Japan,FI4000048962,Nordea,,,390917
Nordea Kinafond,FI0008813308,Nordea,,,26767
Nordea Klimatfond BP SEK,LU0348926527,Nordea,,,121011
Nordea Nordamerika,FI0008813381,Nordea,,,1561
Nordea Obligationsfond icke-utd,SE0000427825,Nordea,,,2075
Nordea Småbolagsfond Sverige,SE0003653302,Nordea,,,276112
Nordea Stabil,SE0001666249,Nordea,,,40567
Nordea Stabila Aktier Tillväxtmarknader,LU0637346080,Nordea,,,420192
Nordea Sverige Passiv icke-utd,SE0002591016,Nordea,,,140888
Nordea Swedish Ideas Equity,FI4000088000,Nordea,,,823613
Nordea Swedish Stars icke-utd,SE0000625238,Nordea,,,1960
Nordic Cross Bear,SE0006426086,Nordic Cross Asset Management,,,551876
Nordic Cross Bull,SE0006426219,Nordic Cross Asset Management,,,551875
Nordic Cross Credit Edge A,SE0011204643,Nordic Cross Asset Management,,,873613
Nordic Cross Small Cap Edge R SEK,LU1587858033,Nordic Cross Asset Management,,,817393
Nordic Cross Stable Return R SEK,LU1587859866,Nordic Cross Asset Management,,,817893
Nordic Cross Total Return R SEK,LU1587867968,Nordic Cross Asset Management,,,817894
NorQuant ESG D,SE0016038723,NorQuant Kapitalforvaltning AS,,,1243379
NorQuant Multi Asset D,SE0016038681,NorQuant Kapitalforvaltning AS,,,1243399
Norron Active RC SEK,LU0619829491,Norron,,,313047
Norron Select R,LU0580532280,Norron,,,273829
Norron Sustainable Equity RC SEK Acc,LU1982817865,Norron,,,1142574
Norron Sustainable Premium RC,LU0772833314,Norron,,,365049
Norron Sustainable Preserve R SEK,LU0580530409,Norron,,,273830
Norron Target R,LU0580531472,Norron,,,273828
ODIN Bærekraft C SEK,NO0011151789,Odin,,,1327039
ODIN Emerging Markets C SEK,NO0010923584,Odin,,,1276720
ODIN Europa C SEK,NO0010923709,Odin,,,1276723
ODIN Fastighet C SEK,NO0010923477,Odin,,,1276725
ODIN Global C SEK,NO0010923824,Odin,,,1276726
ODIN Norden C SEK,NO0010923931,Odin,,,1276719
ODIN Norge C SEK,NO0010924046,Odin,,,1276721
ODIN Small Cap C SEK,SE0013668183,Odin,,,1039468
ODIN Sverige C SEK,NO0010924764,Odin,,,1276722
ODIN USA C SEK,NO0010924848,Odin,,,1276724
Origo Quest 1 C,SE0006452967,Origo,,,696433
ORIGO SELEQT C,SE0017564628,Origo,,,1369439
Pareto Aksje Norge B,NO0010297898,Pareto Asset Management,,,202568
Pareto ESG Global Corporate Bd A,LU1199945780,Pareto Asset Management,,,552855
Pareto Global B,NO0010660434,Pareto Asset Management,,,381075
Pareto Nordic Corporate Bond C,LU0922130561,Pareto Asset Management,,,417084
Pareto Nordic Cross Credit R SEK,LU2200513823,Pareto Asset Management,,,1333719
Pareto Nordic Equity B SEK,LU1653072758,Pareto Asset Management,,,907820
Penser Dynamic Allocation,SE0012990596,Erik Penser Bank AB,,,1205491
Penser Sustainable Impact A,SE0009983729,Erik Penser Bank AB,,,806333
Penser Yield A,SE0012990570,Erik Penser Bank AB,,,1205490
Pictet - Global Envir Opps P USD,LU0503632282,Pictet,,,460566
Pictet-Asian Equities Ex Japan R USD,LU0155303752,Pictet,,,187
Pictet-Biotech R USD,LU0112497440,Pictet,,,459
Pictet-China Equities R USD,LU0168450194,Pictet,,,118
Pictet-Clean Energy R USD,LU0280431049,Pictet,,,86287
Pictet-Digital R USD,LU0101692753,Pictet,,,396
Pictet-Emerging Local Ccy Dbt R USD,LU0255798364,Pictet,,,159008
Pictet-Emerging Markets R USD,LU0131726092,Pictet,,,2186
Pictet-Family R EUR,LU0131725367,Pictet,,,961
Pictet-Health R USD,LU0188501331,Pictet,,,2983
Pictet-Indian Equities R USD,LU0177113007,Pictet,,,121
Pictet-Japanese Equity Opps R JPY,LU0155301624,Pictet,,,1324
Pictet-Japanese Equity Sel R JPY,LU0176901758,Pictet,,,1333
Pictet-Nutrition P EUR,LU0366534344,Pictet,,,180868
Pictet-Premium Brands R EUR,LU0217138725,Pictet,,,20949
Pictet-Quest Emerg Sust Eq P USD,LU0725973621,Pictet,,,364936
Pictet-Quest Europe Sust Eqs R EUR,LU0144510053,Pictet,,,721
Pictet-Security R USD,LU0256846568,Pictet,,,58850
Plain Capital BronX,SE0004550176,AIFM Capital AB,,,346835
Plain Capital LunatiX,SE0006345096,AIFM Capital AB,,,535296
Plain Capital StyX,SE0004550218,AIFM Capital AB,,,346837
PLUS Allabolag Sverige Index,SE0014991535,FCG,,,1151293
PLUS Fastigheter Sverige Index,SE0016798805,FCG,,,1277999
PLUS Hälsovård Sverige Index,SE0016828800,FCG,,,1301399
PLUS Mikrobolag Sverige Index,SE0010323634,FCG,,,789174
PLUS Småbolag Sverige Index,SE0010323642,FCG,,,789175
PLUS Teknologi Sverige Index,SE0016828792,FCG,,,1286005
PriorNilsson Balans,SE0013486073,Prior&Nilsson,,,1038777
PriorNilsson Evolve A,SE0014263182,Prior&Nilsson,,,1101836
PriorNilsson Idea,SE0001599432,Prior&Nilsson,,,106729
PriorNilsson Realinvest A,SE0005189537,Prior&Nilsson,,,459035
PriorNilsson Smart Global,SE0009580814,Prior&Nilsson,,,732593
PriorNilsson Sverige Aktiv A,SE0004636447,Prior&Nilsson,,,377801
PriorNilsson Yield,SE0001008434,Prior&Nilsson,,,106728
Proethos Fond,SE0010547778,AIFM Capital AB,,,953015
Quesada Balanserad A,SE0004357408,Cicero,,,602916
Quesada Bond Opportunity A,SE0007279609,Cicero,,,595175
Quesada Global,SE0008737225,Cicero,,,716153
Quesada Offensiv A,SE0004357416,Cicero,,,602918
Quesada Ränta,SE0002983544,Cicero,,,655035
Quesada Sverige,SE0000893307,Cicero,,,556795
Quesada Vision A,SE0012854172,Cicero,,,1044019
Quesada Vision B,SE0012854180,Cicero,,,1044020
Quesada Yield A,SE0004357390,Cicero,,,602917
Quesada Yield C,SE0013486222,Cicero,,,1041450
Rhenman Healthcare Equity L/S RC1 SEK,LU0417597712,Rhenman & Partners,,,276448
Robeco Next Digital Billion D EUR,LU2368226135,Robeco Institutional Asset Mgmt BV,,,1284739
RobecoSAM Smart Energy Eqs D EUR,LU2145461757,Robeco Institutional Asset Mgmt BV,,,1151003
RobecoSAM Sustainable Water Eqs D EUR,LU2146190835,Robeco Institutional Asset Mgmt BV,,,1151004
S-Bank Asset Management 50 A Growth,FI0008803879,FIM,,,20249
S-Bank Brands Equity A,FI0008801428,FIM,,,504
S-Bank Emerging Markets ESG Equity A,FI0008810148,FIM,,,48768
S-Bank Emerging Markets Yield A,FI0008811930,FIM,,,189969
S-Bank Euro Government Bond Yield A,FI0008800321,FIM,,,390076
S-Bank Europe Equity A,FI0008801402,FIM,,,20251
S-Bank Fenno Equity A,FI0008800339,FIM,,,1663
S-Bank Frontier Markets Equity B,FI4000066725,FIM,,,430715
S-Bank Green Corporate Bond ESG Yield A,FI0008807367,FIM,,,894874
S-Bank USA Equity A,FI0008800644,FIM,,,359
Schroder ISF Asian Opports A Acc USD,LU0106259558,Schroder,,,1166956
Schroder ISF BRIC A Acc USD,LU0228659784,Schroder,,,41815
Schroder ISF China A A Acc USD,LU1713307426,Schroder,,,888654
Schroder ISF Chngng Lfstyls A Acc USD,LU2096785519,Schroder,,,1166962
Schroder ISF Digital Infras A Acc $,LU2388134095,Schroder,,,1319939
Schroder ISF Em Mkts A Acc USD,LU0106252389,Schroder,,,2179
Schroder ISF European Sus Eq A Acc EUR,LU1910162970,Schroder,,,1166960
Schroder ISF European Value A Acc EUR,LU0161305163,Schroder,,,722
Schroder ISF Eurp Spec Sits A Acc EUR,LU0246035637,Schroder,,,259164
Schroder ISF Frntr Mkts Eq A Acc USD,LU0562313402,Schroder,,,300237
Schroder ISF Glb Clmt Chg Eq A Acc USD,LU0302445910,Schroder,,,111430
Schroder ISF Glb Convert Bd A Acc USD,LU0351442180,Schroder,,,259057
Schroder ISF Glb Disruption A Acc USD,LU1910165726,Schroder,,,1173688
Schroder ISF Glb Em Mkt Opps A Acc USD,LU0269904917,Schroder,,,70789
Schroder ISF Glbl Engy Tnstn A Acc USD,LU1983299162,Schroder,,,1166958
Schroder ISF Glbl Hi Yld A Acc SEK,LU0665709670,Schroder,,,316679
Schroder ISF Glbl Mlt Crdt A Acc SEK Hdg,LU1644498583,Schroder,,,1166963
Schroder ISF Glbl Sust Fd & Wtr AAccUSD,LU2380233275,Schroder,,,1319940
Schroder ISF Glbl Sust Gr A Acc USD,LU0557290698,Schroder,,,311567
Schroder ISF Global Cities A Acc USD,LU0224508324,Schroder,,,1087966
Schroder ISF Global Energy A Acc USD,LU0256331488,Schroder,,,71285
Schroder ISF Global Eq Alp A Acc USD,LU0225283273,Schroder,,,259110
Schroder ISF Global Smlr Coms A Acc USD,LU0240877869,Schroder,,,259136
Schroder ISF Greater China A Acc USD,LU0140636845,Schroder,,,123
Schroder ISF Hlthcr Innovt A Acc USD,LU1983299246,Schroder,,,1173690
Schroder ISF Indian Opports A Acc USD,LU0959626531,Schroder,,,1166959
Schroder ISF Nordic Smlr Coms A € Acc,LU2412567823,Schroder,,,1375940
Schroder ISF QEP Glbl Qual A Acc USD,LU0323591593,Schroder,,,259146
Schroder ISF Smart Mnfctng A Acc USD,LU2097341411,Schroder,,,1173689
Schroder ISF Strategic Bd A Acc USD,LU0201322137,Schroder,,,259106
Schroder ISF US Smaller Coms A Acc USD,LU0106261612,Schroder,,,1166964
SEB Active 20 A,SE0016075816,SEB,,,1304759
SEB Active 30 A,SE0016075881,SEB,,,1304760
SEB Active 55 A,SE0016076020,SEB,,,1304761
SEB Active 80 A,SE0016076095,SEB,,,1304762
SEB Aktiesparfond,SE0000984130,SEB,,,1886
SEB Asienfond ex Japan C SEK - Lux,LU2209646558,SEB,,,1151002
SEB Asienfond ex Japan C USD - Lux,LU0011900676,SEB,,,132
SEB Asset Selection C SEK - Lux,LU0256625632,SEB,,,73884
SEB Bioteknikfond C EUR - Lux,LU0385485148,SEB,,,143228
SEB Bioteknikfond D EUR - Lux utd,LU0118405827,SEB,,,478
SEB Blandfond Sverige,SE0000500407,SEB,,,209
SEB Corporate Bond C SEK - Lux,LU0133012632,SEB,,,2545
SEB Dynamisk Aktiefond,SE0000775348,SEB,,,2384
SEB Dynamisk Räntefond SEK – Lux,LU0979738498,SEB,,,457577
SEB Emerging Marketsfond,SE0000984155,SEB,,,2164
SEB Emerging Marketsfond C USD - Lux,LU0037256269,SEB,,,2136
SEB Europa Indexnära C EUR - Lux,LU0030164395,SEB,,,1840
SEB Europafond,SE0000984171,SEB,,,676
SEB Europafond Småbolag,SE0000433252,SEB,,,929
SEB Europe Equity Fund C EUR,LU0030166507,SEB,,,728
SEB European High Yield Fund SEK - Lux,LU0977257640,SEB,,,538155
SEB Fastighetsfond Norden A,SE0000433096,SEB,,,348
SEB Företagsobligationsfond A,SE0011644475,SEB,,,945454
SEB Global Aktiefond A,SE0000434151,SEB,,,2254
SEB Global Climate Opportunity C EUR,LU0122113094,SEB,,,2368
SEB Global Climate Opportunity D SEK,LU0845792208,SEB,,,415687
SEB Global Equal Opportunity C (SEK),LU2364199914,SEB,,,1356639
SEB Global High Yield C H-SEK,LU0413134395,SEB,,,164908
SEB Global Indexnära C USD - Lux,LU0389150375,SEB,,,149930
SEB Globalfond C USD - Lux,LU0030158231,SEB,,,2246
SEB Korträntefond C EUR - Lux,LU0088160774,SEB,,,838
SEB Korträntefond C USD - Lux,LU0011924932,SEB,,,1380
SEB Korträntefond D EUR - Lux utd,LU0397075192,SEB,,,157549
SEB Korträntefond SEK – Lux utd,LU0961016192,SEB,,,447115
SEB Likviditetsfond SEK,SE0000577470,SEB,,,2063
SEB Listed Private Equity C EUR - Lux,LU0385668222,SEB,,,192309
SEB Listed Private Equity C SEK - LUX,LU0920715884,SEB,,,1161195
SEB Läkemedelsfond,SE0000984122,SEB,,,473
SEB Nordamerika Små och Medelstora Bolag,SE0000434268,SEB,,,1599
SEB Nordamerikafond Småbolag,SE0000432601,SEB,,,1600
SEB Nordenfond,SE0000984189,SEB,,,1651
SEB Nordenfond Småbolag C EUR - Lux,LU0385664312,SEB,,,195872
SEB Nordic Equity Fund C EUR,LU0030165871,SEB,,,1630
SEB Nordic Equity Fund C SEK,LU1807523151,SEB,,,887013
SEB Norway Focus Fund C SEK - Lux,LU1612341179,SEB,,,896853
SEB Obligation Flexibel D SEK - Lux utd,LU0053968599,SEB,,,2021
SEB Obligationsfond Flexibel C SEK - Lux,LU0053967609,SEB,,,2100
SEB Obligationsfond SEK,SE0000984072,SEB,,,2122
SEB Pensionsfond D USD - Lux utd,LU0044480142,SEB,,,235
SEB Realräntefond D SEK - Lux utd,LU0055809197,SEB,,,2103
SEB Sverige Expanderad,SE0000984197,SEB,,,1984
SEB Sverige Indexfond B,SE0009773716,SEB,,,1196130
SEB Sverige Indexnära A,SE0002593673,SEB,,,150048
SEB Sverigefond,SE0000775298,SEB,,,1983
SEB Sverigefond Småbolag,SE0000577389,SEB,,,2013
SEB Sverigefond Småbolag C/R,SE0000434201,SEB,,,2007
SEB Sweden Equity C (SEK),LU0047322432,SEB,,,1907
SEB Swedish Value Fund,SE0001838004,SEB,,,87987
SEB Teknologifond,SE0000984114,SEB,,,364
SEB Teknologifond D USD - Lux utd,LU0047324487,SEB,,,366
SEB US All Cap Fund C USD - Lux,LU0030166176,SEB,,,1462
SEB USA Indexnära D USD - Lux utd,LU0047323166,SEB,,,1474
SEB Världenfond,SE0000984098,SEB,,,247
SEB WWF Nordenfond,SE0000691750,SEB,,,981
Sensor Sverige Select,SE0002801290,Sensor,,,217470
She Invest Sweden,SE0006852232,ALFAKRAFT Fonder AB,,,1029789
Simplicity Fastigheter A,SE0015243258,Simplicity,,,1170517
Simplicity Företagsobligationer A,SE0004452118,Simplicity,,,342255
Simplicity Global Corporate Bond A,SE0004926368,Simplicity,,,389820
Simplicity High Yield A,SE0014555223,Simplicity,,,1125641
Simplicity Likviditet A,SE0001827692,Simplicity,,,56127
Simplicity Norden,SE0000988750,Simplicity,,,1660
Simplicity Småbolag Global,SE0010520403,Simplicity,,,830993
Simplicity Småbolag Sverige A,SE0009161540,Simplicity,,,702073
Simplicity Sverige,SE0006453536,Simplicity,,,648075
SKAGEN Focus A,NO0010735129,Skagen,,,562715
SKAGEN Global A,NO0008004009,Skagen,,,2435
SKAGEN Kon-Tiki A,NO0010140502,Skagen,,,2197
SKAGEN m2 A,NO0010657356,Skagen,,,376316
SKAGEN Tellus A,NO0010327786,Skagen,,,52229
SKAGEN Vekst A,NO0008000445,Skagen,,,552
Skandia Asien,SE0000810756,Skandia Fonder,,,148
Skandia Balanserad,SE0000810905,Skandia Fonder,,,210
Skandia Cancerfonden,SE0000432759,Skandia Fonder,,,1895
Skandia Europa Exponering,SE0000810772,Skandia Fonder,,,581
Skandia Försiktig,SE0000810731,Skandia Fonder,,,192
Skandia Global Exponering A,SE0005281847,Skandia Fonder,,,429935
Skandia Japan Exponering,SE0000810764,Skandia Fonder,,,1263
Skandia Kapitalmarknadsfond,SE0000810863,Skandia Fonder,,,2109
Skandia Korträntefond,SE0000810897,Skandia Fonder,,,2058
Skandia Nordamerika Exponering,SE0005065505,Skandia Fonder,,,411236
Skandia Norden,SE0004518744,Skandia Fonder,,,347375
Skandia Realräntefond,SE0000810871,Skandia Fonder,,,2108
Skandia Småbolag Sverige,SE0000810814,Skandia Fonder,,,2012
Skandia Sverige Exponering,SE0005065521,Skandia Fonder,,,403595
Skandia Sverige Hållbar,SE0010547943,Skandia Fonder,,,823614
Skandia Time Global,SE0001112715,Skandia Fonder,,,373
Skandia USA,SE0000810798,Skandia Fonder,,,1478
Skandia Världen,SE0001112723,Skandia Fonder,,,2247
Skandia Världen Sverige,SE0014554838,Skandia Fonder,,,1148787
Skandia Världsnaturfonden,SE0000432742,Skandia Fonder,,,1896
Sparinvest SICAV EM Bonds EUR R,LU1735614239,Sparinvest,,,853413
Sparinvest SICAV Equitas EUR R,LU0362354549,Sparinvest,,,147684
Sparinvest SICAV Ethical EM Value EUR R,LU0760183912,Sparinvest,,,383498
Sparinvest SICAV Ethical Gl Val EUR R,LU0362355355,Sparinvest,,,147674
Sparinvest SICAV European Value EUR R,LU0264920413,Sparinvest,,,65407
Sparinvest SICAV Global Et HY EUR R,LU1735613934,Sparinvest,,,813855
Sparinvest SICAV Global Et HY SEK R H,LU1739245857,Sparinvest,,,813853
Sparinvest SICAV Global Inv Grd EUR R,LU0264925727,Sparinvest,,,65465
Sparinvest SICAV Global Value EUR R,LU0138501191,Sparinvest,,,34460
Sparinvest SICAV Long Danish Bds EUR R,LU0274988251,Sparinvest,,,65466
Sparinvest SICAV Procedo EUR R,LU0139792278,Sparinvest,,,148529
Sparinvest SICAV Securus EUR R,LU0139791205,Sparinvest,,,148528
Spets A,SE0013409463,ISEC Services AB,,,1205492
Spiltan Aktiefond Investmentbolag,SE0004297927,Spiltan Fonder,,,325406
Spiltan Aktiefond Småland,SE0002566349,Spiltan Fonder,,,132510
Spiltan Aktiefond Stabil,SE0001015348,Spiltan Fonder,,,2016
Spiltan Enkel,SE0012740926,Spiltan Fonder,,,1034185
Spiltan Globalfond Investmentbolag,SE0008613939,Spiltan Fonder,,,693994
Spiltan Högräntefond,SE0005798329,Spiltan Fonder,,,471796
Spiltan Räntefond Sverige,SE0002152140,Spiltan Fonder,,,94867
Spiltan Småbolagsfond,SE0001015355,Spiltan Fonder,,,1996
SPP Aktiefond Europa A SEK,SE0000531881,SPP,,,599
SPP Aktiefond Global A SEK,SE0000671919,SPP,,,2332
SPP Aktiefond Japan A SEK,SE0000621393,SPP,,,1288
SPP Aktiefond Stabil A SEK,SE0005224078,SPP,,,436351
SPP Aktiefond Sverige A SEK,SE0000529992,SPP,,,1950
SPP Aktiefond USA A SEK,SE0000594111,SPP,,,1505
SPP Emerging Markets Plus A SEK,SE0008129969,SPP,,,663195
SPP Emerging Markets SRI A SEK,SE0003455658,SPP,,,266309
SPP Europa Plus A SEK,SE0010714113,SPP,,,836873
SPP FRN Företagsobligationsfond A SEK,SE0004807097,SPP,,,377809
SPP Generation 40-tal,SE0001095845,SPP,,,1040
SPP Generation 50-tal,SE0001095852,SPP,,,1023
SPP Generation 60-tal,SE0001095860,SPP,,,1022
SPP Generation 70-tal,SE0001095878,SPP,,,1024
SPP Generation 80-tal,SE0000619355,SPP,,,1029
SPP Global Företagsobligations A,SE0010831578,SPP,,,862036
SPP Global Multifactor A SEK,SE0011642958,SPP,,,901093
SPP Global Plus A SEK,SE0008129985,SPP,,,652895
SPP Global Solutions A SEK,SE0004576452,SPP,,,375216
SPP Grön Obligationsfond A SEK,SE0006763967,SPP,,,544596
SPP High Yield Företagsobligation A SEK,SE0013877263,SPP,,,1107135
SPP Korträntefond SEK,SE0000522500,SPP,,,92827
SPP Obligationsfond A SEK,SE0000522518,SPP,,,2128
SPP Sverige Plus A SEK,SE0008964407,SPP,,,694153
SPP Sverige Småbolag Plus A SEK,SE0014808382,SPP,,,1149492
SPP USA Plus A SEK,SE0017485360,SPP,,,1377710
Storebrand Equal Opportunities A2,NO0011030215,Storebrand,,,1341499
Storebrand Global Multifactor A,NO0010346422,Storebrand,,,708773
Storebrand Global Value A,NO0008000973,Storebrand,,,2328
Storebrand Norge A,NO0008000783,Storebrand,,,1360913
Storebrand Renewable Energy A2,NO0011110264,Storebrand,,,1291159
Storebrand Smart Cities A2,NO0011030355,Storebrand,,,1285099
Strand Företagsobligationsfond A,SE0015192638,Strand,,,1162341
Strand Förmögenhetsfond,SE0001541145,Strand,,,45489
Strand Småbolagsfond,SE0001928730,Strand,,,64710
Swedbank Robur Access Asien A,SE0007074117,Swedbank Robur,,,596635
Swedbank Robur Access Edge Em Mkt A,SE0012428290,Swedbank Robur,,,1020238
Swedbank Robur Access Edge Europe A,SE0014609103,Swedbank Robur,,,1141039
Swedbank Robur Access Edge Global A,SE0014429353,Swedbank Robur,,,1141043
Swedbank Robur Access Edge Japan A,SE0007074091,Swedbank Robur,,,600076
Swedbank Robur Access Edge Sweden A,SE0013121522,Swedbank Robur,,,1141040
Swedbank Robur Access Edge USA A,SE0014556304,Swedbank Robur,,,1141041
Swedbank Robur Access Europa A,SE0007073937,Swedbank Robur,,,592236
Swedbank Robur Access Global A,SE0007074059,Swedbank Robur,,,600075
Swedbank Robur Access Mix A,SE0000434359,Swedbank Robur,,,206
Swedbank Robur Access Sverige A,SE0007074075,Swedbank Robur,,,592235
Swedbank Robur Access USA A,SE0007074083,Swedbank Robur,,,596636
Swedbank Robur Asienfond A,SE0000539447,Swedbank Robur,,,134
Swedbank Robur Bas 100,SE0006219184,Swedbank Robur,,,502796
Swedbank Robur Bas 25,SE0002135566,Swedbank Robur,,,93828
Swedbank Robur Bas 50,SE0001285362,Swedbank Robur,,,278
Swedbank Robur Climate Imp A,SE0015948963,Swedbank Robur,,,1277079
Swedbank Robur Corp Bond Eur Mix A,SE0010598367,Swedbank Robur,,,818953
Swedbank Robur Corp Bond Europe A,SE0005506300,Swedbank Robur,,,475797
Swedbank Robur Corp Bond Europe HY A,SE0011062025,Swedbank Robur,,,1009152
Swedbank Robur Corp Bond Europe IG A,SE0009805252,Swedbank Robur,,,1141042
Swedbank Robur Corp Bond Nordic A,SE0016831077,Swedbank Robur,,,1310159
Swedbank Robur Europafond A,SE0000539454,Swedbank Robur,,,574
Swedbank Robur Fastighet A,SE0000537763,Swedbank Robur,,,347
Swedbank Robur Global Emerging Markets A,SE0001912924,Swedbank Robur,,,64529
Swedbank Robur Global High Dividend A,SE0005249661,Swedbank Robur,,,447023
Swedbank Robur Global Impact A,SE0011167899,Swedbank Robur,,,853173
Swedbank Robur Globalfond A,SE0000542979,Swedbank Robur,,,1877
Swedbank Robur Healthcare A,SE0000639445,Swedbank Robur,,,453
Swedbank Robur Japanfond A,SE0000539413,Swedbank Robur,,,1264
