MIC,Name
XBSD,DERIVATIVES REGULATED MARKET - BVB
XBSE,SPOT REGULATED MARKET - BVB
XCAN,CAN - ATS
XRAS,RASDAQ
XRPM,ROMANIAN POWER MARKET
MISX,MOSCOW EXCHANGE - ALL MARKETS
NAMX,NATIONAL MERCANTILE EXCHANGE
RPDX,MOSCOW ENERGY EXCHANGE
RTSX,MOSCOW EXCHANGE - DERIVATIVES MARKET
RUSX,NON-PROFIT PARTNERSHIP FOR THE DEVELOPMENT OF FINANCIAL MARKET RTS
SPBE,SPB EXCHANGE - ALL MARKETS
SPIM,ST. PETERSBURG INTERNATIONAL MERCANTILE EXCHANGE
XMOS,CENTRAL COUNTERPARTY CLEARING CENTER MFB - JOINT-STOCK COMPANY
XPET,STOCK EXCHANGE SAINT PETERSBURG
XPIC,SAINT-PETERSBURG CURRENCY EXCHANGE
XRUS,INTERNET DIRECT-ACCESS EXCHANGE
XSAM,SAMARA CURRENCY INTERBANK EXCHANGE
XSIB,SIBERIAN EXCHANGE
ROTC,RWANDA OTC MARKET
RSEX,RWANDA STOCK EXCHANGE
XECS,EASTERN CARIBBEAN SECURITIES EXCHANGE
SVXI,SAINT VINCENT AND THE GRENADINES SECURITIES EXCHANGE
XSAU,SAUDI STOCK EXCHANGE
XBEL,BELGRADE STOCK EXCHANGE
SECC,SECDEX CLEARING LIMITED
SECD,SECDEX DEPOSITORY LIMITED
SECE,SECDEX EXCHANGE LIMITED
SEDC,SECDEX DIGITAL CUSTODIAN LIMITED
APCL,ASIA PACIFIC CLEAR
APEX,ASIA PACIFIC EXCHANGE
BBLX,BONDBLOX EXCHANGE
BTBS,BLOOMBERG TRADEBOOK SINGAPORE PTE LTD
CLTD,CLEARTRADE EXCHANGE
CNOD,CNODE
ECAL,EUREX CLEARING ASIA PTE. LTD.
EEAL,EUREX EXCHANGE ASIA PTE. LTD.
ENMS,EURONEXT MARKETS SINGAPORE PTE. LTD.
EQOC,EQUOS SPOT
EQOD,EQUOS DERIVATIVES
EQOS,EQUOS
FXSM,REFINITIV MATCHING NDFS SINGAPORE
IFSG,ICE FUTURES SINGAPORE
JADX,JOINT ASIAN DERIVATIVES EXCHANGE
MALM,MARKETAXESS SINGAPORE PTE LIMITED - LIVE MARKETS
MASG,MARKETAXESS SINGAPORE PTE LIMITED
OSSG,OSL SG EXCHANGES
RTSP,REFINITIV TRANSACTION SERVICES PTE. LTD
SMEX,SINGAPORE MERCANTILE EXCHANGE PTE LTD
SYFX,SYNOPTION
TERM,TP ICAP FX HUB
TFSA,TFS GREEN AUSTRALIAN GREEN MARKETS
TSIG,TRADITION SINGAPORE PTE. LTD.
TWSG,TRADEWEB EUROPE LIMITED - SINGAPORE
XABX,ABAXX EXCHANGE
XSBT,SINGAPORE EXCHANGE BOND TRADING PTE. LTD
XSCA,SINGAPORE CATALIST MARKET
XSCE,SINGAPORE COMMODITY EXCHANGE
XSES,SINGAPORE EXCHANGE
XSIM,SINGAPORE EXCHANGE DERIVATIVES CLEARING LIMITED
CBSK,"CESKOSLOVENSKA OBCHODNA BANKA, A.S. - SYSTEMATIC INTERNALISER"
EBRA,BRATISLAVA STOCK EXCHANGE - MTF
SPXE,SPX
XBRA,BRATISLAVA STOCK EXCHANGE
SKBB,SKB BANKA D.D. LJUBLJANA
XLJM,SI ENTER
XLJU,LJUBLJANA STOCK EXCHANGE (OFFICIAL MARKET)
XSOP,BSP REGIONAL ENERGY EXCHANGE - SOUTH POOL
4AXE,4 AFRICA EXCHANGE (PTY) LTD
A2XX,A2X
ALTX,JSE ALTERNATE EXCHANGE
JSEB,JSE BOND ELECTRONIC TRADING PLATFORM
JSER,JSE REPO MARKET
RMMS,RMB MORGAN STANLEY
RMMX,RMB MORGAN STANLEY - INVENTORY MANAGER
XBES,JSE CASH BOND MARKET
XJSE,JOHANNESBURG STOCK EXCHANGE
XSAF,JSE EQUITY DERIVATIVES MARKET
XSFA,JSE COMMODITY DERIVATIVES MARKET
YLDX,JSE INTEREST RATE DERIVATIVES MARKET
ZARX,ZAR X
ZFXM,JSE CURRENCY DERIVATIVES MARKET
ABAN,ABANCA
AGBP,A AND G BANCA PRIVADA SAU
ALLT,ALLT - OTF
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA S.A - SYSTEMATIC INTERNALISER
BCMA,BANCA MARCH S.A. - SYSTEMATIC INTERNALISER
BMCL,BME CLEARING S.A.
BMEA,BME - APA
BMEX,BME - BOLSAS Y MERCADOS ESPANOLES
BSAB,"BANCO DE SABADELL, S.A. -  SYSTEMATIC INTERNALISER"
CABK,CAIXABANK - SYSTEMATIC INTERNALISER
CAPI,CAPI - OTF
CECA,CECABANK - SYSTEMATIC INTERNALISER
CIMA,CIMD S.V. S.A. - APPROVED PUBLICATION ARRANGEMENT
CIMB,CIMD S.V. S.A. - OTF FOR BONDS
CIMD,CIMD S.V. S.A. - OTF
CIME,CIMD S.V. S.A. - OTF FOR ENERGY DERIVATIVES
CIMV,CIMD S.V. S.A. - OTF FOR DERIVATIVES
CMAP,CAPI - APPROVED PUBLICATION ARRANGEMENT
CSMD,"CREDIT SUISSE BANK (EUROPE), S.A."
DOWE,DOWGATE EURO GOVERNMENT BONDS
DOWM,DOWGATE - MTF (MADRID)
GROW,BME GROWTH MARKET
IBER,IBERCAJA BANCO SA
IBGH,IBERIAN GAS HUB
MABX,BME MTF EQUITY (IIC AND ECR SEGMENTS)
MARF,MERCADO ALTERNATIVO DE RENTA FIJA
MDRV,MIBGAS - DERIVATIVES
MERF,MERCADO ELECTRONICO DE RENTA FIJA
MIBG,MERCADO ORGANIZADO DEL GAS
OMEL,OMI POLO ESPANOL S.A. (OMIE)
PAVE,ALTERNATIVE PLATFORM FOR SPANISH SECURITIES
POSE,PORTFOLIO STOCK EXCHANGE
SANT,BANCO SANTANDER S.A. - SYSTEMATIC INTERNALISER
SBAR,BOLSA DE BARCELONA RENTA FIJA
SBIL,BOLSA DE BILBAO RENTA FIJA
SEND,SEND - SISTEMA ELECTRONICO DE NEGOCIACION DE DEUDA
SIMD,"CREDIT SUISSE BANK (EUROPE), S.A. - SYSTEMATIC INTERNALISER"
TEUR,TRADITION ESPANA OTF
XBAR,BOLSA DE BARCELONA
XBIL,BOLSA DE VALORES DE BILBAO
XDPA,CADE - MERCADO DE DEUDA PUBLICA ANOTADA
XDRF,AIAF - MERCADO DE RENTA FIJA
XLAT,LATIBEX
XMAD,BOLSA DE MADRID
XMFX,MEFF FX FINANCIAL DERIVATIVES
XMPW,MEFF POWER DERIVATIVES
XMRV,MEFF FINANCIAL DERIVATIVES
XNAF,SISTEMA ESPANOL DE NEGOCIACION DE ACTIVOS FINANCIEROS
XVAL,BOLSA DE VALENCIA
XCOL,COLOMBO STOCK EXCHANGE
XKHA,KHARTOUM STOCK EXCHANGE
XSWA,SWAZILAND STOCK EXCHANGE
CASI,CARNEGIE INVESTMENT BANK AB - SYSTEMATIC INTERNALISER
CRYD,CRYEX - FX AND DIGITAL CURRENCIES
CRYX,CRYEX
CSTO,NASDAQ CLEARING AB
DKED,NASDAQ STOCKHOLM AB - DANISH EQ DERIVATIVES
DKFI,NASDAQ STOCKHOLM AB - DANISH FI DERIVATIVES
DKOB,NASDAQ STOCKHOLM AB - OTC DKK WB EQ DERIVATIVES
DKWB,NASDAQ STOCKHOLM AB - DKK WB EQ DERIVATIVES
DNSE,FIRST NORTH SWEDEN - NORDIC@MID
DOSE,FIRST NORTH SWEDEN - NORWAY NORDIC@MID
DSTO,NASDAQ STOCKHOLM AB - NORDIC@MID
EBON,NASDAQ STOCKHOLM AB - EUR FI DERIVATIVES
ESTO,NASDAQ STOCKHOLM AB - NORWAY ETF
EUOB,NASDAQ STOCKHOLM AB - OTC EUR WB EQ DERIVATIVES
EUWB,NASDAQ STOCKHOLM AB - EUR WB EQ DERIVATIVES
FIED,NASDAQ STOCKHOLM AB - FINNISH EQ DERIVATIVES
FNSE,FIRST NORTH SWEDEN
GBOB,NASDAQ STOCKHOLM AB - OTC GBP WB EQ DERIVATIVES
GBWB,NASDAQ STOCKHOLM AB - GBP WB EQ DERIVATIVES
GFKS,GARANTUM FONDKOMMISSION AB - SYSTEMATIC INTERNALISER
MNSE,FIRST NORTH SWEDEN - AUCTION ON DEMAND
MOSE,FIRST NORTH SWEDEN - NORWAY AUCTION ON DEMAND
MSTO,NASDAQ STOCKHOLM AB - AUCTION ON DEMAND
NAPA,NASDAQ STOCKHOLM AB - APA SERVICE
NMTF,NORDIC MTF
NOED,NASDAQ STOCKHOLM AB - NORWEGIAN EQ DERIVATIVES
NOFI,NASDAQ STOCKHOLM AB - NORWEGIAN FI DERIVATIVES
NOOB,NASDAQ STOCKHOLM AB - OTC NOK WB EQ DERIVATIVES
NOWB,NASDAQ STOCKHOLM AB - NOK WB EQ DERIVATIVES
NSME,NORDIC SME
NSPO,NASDAQ SPOT AB
ONSE,FIRST NORTH SWEDEN - NORWAY
PEPH,PEPINS - MTF - HALF-YEAR
PEPM,PEPINS - MTF - MONTH
PEPQ,PEPINS - MTF - QUARTER
PEPW,PEPINS - MTF
PEPY,PEPINS - MTF - YEAR
PNED,NASDAQ STOCKHOLM AB - PAN-NORDIC EQ DERIVATIVES
SEBS,SEB - SYSTEMATIC INTERNALISER
SEED,NASDAQ STOCKHOLM AB - SWEDISH EQ DERIVATIVES
SEOB,NASDAQ STOCKHOLM AB - OTC SEK WB EQ DERIVATIVES
SEWB,NASDAQ STOCKHOLM AB - SEK WB EQ DERIVATIVES
SSME,FIRST NORTH SWEDEN - SME GROWTH MARKET
SVES,SVENSKA HANDELSBANKEN AB - SYSTEMATIC INTERNALISER
SVEX,SVENSKA HANDELSBANKEN AB - SVEX
SWBI,SWEDBANK - SYSTEMATIC INTERNALISER
USOB,NASDAQ STOCKHOLM AB - OTC USD WB EQ DERIVATIVES
USWB,NASDAQ STOCKHOLM AB - USD WB EQ DERIVATIVES
XABC,ABG SUNDAL COLLIER AB - SYSTEMATIC INTERNALISER
XNGM,NORDIC GROWTH MARKET
XOPV,OTC PUBLICATION VENUE
XSAT,SPOTLIGHT STOCK MARKET AB
XSTO,NASDAQ STOCKHOLM AB
CBOE,CBOE FX NDFS
CCMS,CONTINENTAL CAPITAL MARKETS S.A.
CSAG,CREDIT SUISSE AG
CSOT,CREDIT SUISSE AG - OHS
CSZH,CREDIT SUISSE (CH)
DOTS,SWISS DOTS BY CATS
EBSC,"EBS MARKET- CLOB - FOR THE TRADING OF SPOT FX, PRECIOUS METALS AND OTHER FX PRODUCTS"
EBSS,EBS SERVICE COMPANY LIMITED - ALL MARKETS
KMUX,ZURCHER KANTONALBANK - EKMU-X
OTXB,BERNER KANTONALBANK OTC-X
ROSR,SIX REPO AG
S3FM,SOCIETY3 FUNDERSMART
STOX,STOXX LIMITED
UBSC,UBS PIN-FX
UBSF,UBS FX
UBSG,UBS TRADING
VLEX,VONTOBEL LIQUIDITY EXTENDER
XBRN,BX SWISS AG
XBTR,SIX SWISS BILATERAL TRADING PLATFORM FOR STRUCTURED OTC PRODUCTS
XDLP,SIX SWISS EXCHANGE - DEAL POOL - BOOK BUILDING AND ANNOUNCEMENT PLATFORM
XQMH,SIX SWISS EXCHANGE - STRUCTURED PRODUCTS
XQOD,SIX SWISS EXCHANGE - ETF QOD
XREP,SIX REPO AG - CH REPO MARKET
XROT,SIX REPO AG - OTC SPOT MARKET
XSCU,STOXX LIMITED - CUSTOMIZED INDICES
XSDX,SIX DIGITAL EXCHANGE
XSEB,SIX SWISS EXCHANGE - EBBO BOOK
XSTV,STOXX LIMITED - VOLATILITY INDICES
XSTX,STOXX LIMITED - INDICES
XSWM,SIX SWISS EXCHANGE - SIX SWISS EXCHANGE AT MIDPOINT
XSWX,SIX SWISS EXCHANGE
ZKBX,ZURCHER KANTONALBANK SECURITIES EXCHANGE
XDSE,DAMASCUS SECURITIES EXCHANGE
CFTW,CROSSFINDER TAIWAN
GSXT,GSX TAIWAN
ROCO,TAIPEI EXCHANGE
XTAF,TAIWAN FUTURES EXCHANGE
XTAI,TAIWAN STOCK EXCHANGE
XDAR,DAR ES  SALAAM STOCK EXCHANGE
AFET,AGRICULTURAL FUTURES EXCHANGE OF THAILAND
BEEX,BOND ELECTRONIC EXCHANGE
TFEX,THAILAND FUTURES EXCHANGE
XBKF,STOCK EXCHANGE OF THAILAND - FOREIGN BOARD
XBKK,STOCK EXCHANGE OF THAILAND
XMAI,MARKET FOR ALTERNATIVE INVESTMENT
ABNA,ABN AMRO BANK NV - SYSTEMATIC INTERNALISER
ABNC,ABN AMRO CLEARING BANK - SYSTEMATIC INTERNALISER
AFSA,AFS - OTF
AFSE,AFS E-VENUES B.V.
AFSI,AFS - OTF - INTEREST RATE DERIVATIVES
AFSL,AFS - OTF - STRUCTURED PRODUCTS
AFSO,AFS - OTF - BONDS
AFSX,AFS - OTF - FX FORWARDS
BAPE,BLOOMBERG DATA REPORTING SERVICES B.V. - APA
BARU,CBOE EUROPE - REGULATED MARKET DARK BOOK (NL)
BEUO,CBOE EUROPE - REGULATED MARKET OFF BOOK (NL)
BEUP,CBOE EUROPE - DXE PERIODIC (NL)
BEUT,CBOE EUROPE - REGULATED MARKET INTEGRATED BOOK (NL)
BTAM,CME AMSTERDAM B.V.
BTFE,BLOOMBERG TRADING FACILITY B.V.
BTQE,CME AMSTERDAM B.V. - RFQ TRADING PROTOCOL
CABV,CME AMSTERDAM B.V. - APA
CAPA,CBOE EUROPE - APA (NL)
CAVD,CAVENDISH MARKETS B.V.
CCRM,CBOE EUROPE REGULATED MARKETS (NL)
CCXE,CBOE EUROPE EQUITIES - EUROPEAN EQUITIES (NL)
CEDX,CBOE EUROPE DERIVATIVES
CEUD,CBOE EUROPE - DXE DARK ORDER BOOK (NL)
CEUO,CBOE EUROPE - DXE OFF-BOOK (NL)
CEUX,CBOE EUROPE - DXE ORDER BOOKS (NL)
CLMX,CLIMEX
COMM,COMMERG
CPTX,CAPTIN
EBSF,EBS MTF - FX PRODUCTS - RFQ SEGMENT
EBSN,EBS MTF
ECEU,TRADECHO EU APA
ETPA,ENERGY TRADING PLATFORM AMSTERDAM
FLTB,FLOW TRADERS B.V. - SYSTEMATIC INTERNALISER BONDS
FLTR,FLOW TRADERS - SYSTEMATIC INTERNALISER
FLWX,FLOW TRADERS
GMGE,GMG EUROPE B.V.
HCHC,ICE CLEAR NETHERLANDS B.V.
IEBS,EBS MTF - RFQ - FX PRODUCTS FOR ASSET MANAGERS
IMCO,ICE ENDEX OTF FUTURES
IMCT,IMC - SYSTEMATIC INTERNALISER
IMEQ,ICE MARKETS EQUITY
INGB,ING BANK NV - SYSTEMATIC INTERNALISER
INGE,ING BANK NV - SPRINTERS AND EQUITY - SYSTEMATIC INTERNALISER
INGF,ING BANK NV - FOREIGN EXCHANGE - SYSTEMATIC INTERNALISER
ISWN,ISWAP EURO MTF - TRADE REGISTRATION
ISWO,ISWAP EURO MTF - ORDERBOOK
ISWP,ISWAP EURO MTF
ISWT,ISWAP EURO MTF - TARGETED STREAMING / RFQ
JLEU,JUMP LIQUIDITY EU EQUITY PLATFORM
JNSI,JANE STREET NETHERLANDS B.V. - SYSTEMATIC INTERNALISER
LEBV,LEDGEREDGE B.V.
LISZ,CBOE EUROPE - LIS SERVICE (NL)
MANL,MARKETAXESS NL B.V.
MHBE,MIZUHO BANK EUROPE N.V. - SYSTEMATIC INTERNALISER
MUBE,MUFG BANK (EUROPE) N.V. - SYSTEMATIC INTERNALISER
MUSN,MUFG SECURITIES (EUROPE) N.V -
MXNL,MARKETAXESS NL B.V. - LIVE MARKETS
NDEX,ICE ENDEX FUTURES
NDXS,ICE ENDEX EUROPEAN GAS SPOT
NIBC,NIBC - SYSTEMIC INTERNALISER
NLPX,APX POWER NL
NPEX,NPEX
NWNV,NATWEST MARKETS NV
OHVO,OHV OTF
RABO,RABOBANK - SYSTEMATIC INTERNALISER
RESF,EBS MTF - RESET SEGMENT
RR4G,ROUTE4GAS
STXS,STX FIXED INCOME
TNLA,EURONEXT - TRADED BUT NOT LISTED AMSTERDAM
TOWR,TOWER RESEARCH CAPITAL EUROPE - SYSTEMATIC INTERNALISER
TQEA,TURQUOISE EUROPE - LIT AUCTIONS
TQEB,TURQUOISE EUROPE - NYLON CASH ORDER BOOK
TQEM,TURQUOISE EUROPE - DARK
TQEX,TURQUOISE EUROPE
TRNL,MARKETAXESS POST-TRADE B.V. - APA
TWEA,TRADEWEB EU BV - APA
TWEM,TRADEWEB EU BV - MTF
TWEO,TRADEWEB EU BV - OTF
TWEU,TRADEWEB EU BV
XAMS,EURONEXT - EURONEXT AMSTERDAM
XEMS,EMS EXCHANGE
XEUC,"EURONEXT COM, COMMODITIES FUTURES AND OPTIONS"
XEUE,"EURONEXT EQF, EQUITIES AND INDICES DERIVATIVES"
XEUI,"EURONEXT IRF, INTEREST RATE FUTURE AND OPTIONS"
XNXC,NXCHANGE
XNXD,NXCHANGE B.V. MTF
XTRN,TRINIDAD AND TOBAGO STOCK EXCHANGE
BTUN,TUNIS STOCK EXCHANGE (BOURSE DE TUNIS) - BONDS MARKET
XTUN,TUNIS STOCK EXCHANGE (BOURSE DE TUNIS)
EWRM,TURKISH MERCANTILE EXCHANGE - ELECTRONIC WAREHOUSE RECEIPT MARKET
EXTR,ENERGY EXCHANGE ISTANBUL
TMEX,TURKISH MERCANTILE EXCHANGE
XDSM,BORSA ISTANBUL - DEBT SECURITIES MARKET
XEDA,ELECTRICITY DAY-AHEAD MARKET
XEID,ELECTRICITY INTRA-DAY MARKET
XEQY,BORSA ISTANBUL - EQUITY MARKET
XFNO,BORSA ISTANBUL - FUTURES AND OPTIONS MARKET
XIST,BORSA ISTANBUL
XPMS,BORSA ISTANBUL - PRECIOUS METALS AND DIAMONDS MARKETS
ULTX,ALT XCHANGE (U)
XUGA,UGANDA SECURITIES EXCHANGE
EESE,EAST EUROPEAN STOCK EXCHANGE
PFTQ,PFTS QUOTE DRIVEN
PFTS,PFTS STOCK EXCHANGE
SEPE,STOCK EXCHANGE PERSPECTIVA
UICE,UKRAINIAN INTERBANK CURRENCY EXCHANGE
UKEX,UKRAINIAN EXCHANGE
XDFB,JOINT-STOCK COMPANY “STOCK EXCHANGE INNEX”
XKHR,KHARKOV COMMODITY EXCHANGE
XKIE,KIEV UNIVERSAL EXCHANGE
XKIS,KIEV INTERNATIONAL STOCK EXCHANGE
XNDU,PJSC NATIONAL DEPOSITORY OF UKRAINE
XODE,ODESSA COMMODITY EXCHANGE
XPRI,PRIDNEPROVSK COMMODITY EXCHANGE
XUAX,UKRAINIAN STOCK EXCHANGE
XUKR,UKRAINIAN UNIVERSAL COMMODITY EXCHANGE
ABXX,YOSHI MARKETS LIMITED
DEXE,DEX LIMITED
DGCX,DUBAI GOLD & COMMODITIES EXCHANGE DMCC
DIFX,NASDAQ DUBAI
DUMX,DUBAI MERCANTILE EXCHANGE
GLOM,GLOMAX EXCHANGE LTD
GMGD,GMG DUBAI LIMITED
IFAD,ICE FUTURES ABU DHABI
KRME,PAYWARD MENA HOLDINGS LTD.
MATX,MATRIX LIMITED
MIDC,MIDCHAINS
XADS,ABU DHABI SECURITIES EXCHANGE
XDFM,DUBAI FINANCIAL MARKET
3579,SSY FUTURES LTD -  FREIGHT SCREEN
AFDL,ABIDE FINANCIAL DRSP LIMITED APA
AIMX,LONDON STOCK EXCHANGE - AIM MTF
AMPX,ASSET MATCH PRIVATE EXCHANGE
ANLP,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANTS,ABBEY NATIONAL TREASURY SERVICES PLC - SYSTEMATIC INTERNALISER
ANZL,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED SYSTEMATIC INTERNALISER
AQXA,AQUIS EXCHANGE PLC AUCTION ON DEMAND (AOD)
AQXE,AQUIS EXCHANGE PLC
ARAX,ARRACO GLOBAL MARKETS LTD
ARCH,ARCHAX
ARIA,ARIAN TRADING FACILITY
ATLB,BRAEMAR ATLANTIC SECURITIES LTD
AUTB,AUTILLA - BASE METALS
AUTP,AUTILLA - PRECIOUS METALS
AUTX,AUTILLA
BALT,THE BALTIC EXCHANGE
BANA,"BANK OF AMERICA, NATIONAL ASSOCIATION"
BAPA,BLOOMBERG - APA
BARK,CBOE EUROPE - REGULATED MARKET DARK BOOK
BARO,CBOE EUROPE - REGULATED MARKET OFF BOOK
BART,CBOE EUROPE - REGULATED MARKET INTEGRATED BOOK
BASI,"BANK OF AMERICA, NATIONAL ASSOCIATION - LONDON BRANCH OFFICE - SYSTEMATIC INTERNALISER"
BATD,CBOE EUROPE - BXE DARK ORDER BOOK
BATE,CBOE EUROPE - BXE ORDER BOOKS
BATF,CBOE EUROPE - BXE OFF-BOOK
BATP,CBOE EUROPE - BXE PERIODIC
BBSI,BARCLAYS BANK PLC - SYSTEMATIC INTERNALISER
BBSX,BB SECURITIES LTD
BBVX,BANCO BILBAO VIZCAYA ARGENTARIA S.A. - UK - SYSTEMATIC INTERNALISER
BCRM,CBOE EUROPE REGULATED MARKETS
BCSI,BARCLAYS CAPITAL SECURITIES LIMITED - SYSTEMATIC INTERNALISER
BCSL,BARCLAYS CAPITAL SECURITIES LIMITED
BCXE,CBOE EUROPE EQUITIES
BETX,BET OTC BILAT COMMODITY DERIVATIVES
BGCB,BGC BROKERS LP - TRAYPORT
BGCI,BGC BROKERS LP
BGCO,BGC BROKERS LP - OTF
BGFU,BERENBERG FIXED INCOME UK - SYSTEMATIC INTERNALISER
BGUK,BERENBERG - SYSTEMATIC INTERNALISER UK
BISI,GOLDMAN SACHS INTERNATIONAL BANK - SYSTEMATIC INTERNALISER
BKLF,BNY MELLON - SYSTEMATIC INTERNALISER
BKLN,BNY MELLON INTERNATIONAL - LONDON BRANCH
BLNK,BLINK MTF
BLOX,BLOCKMATCH DARK
BLTX,BALTEX - FREIGHT DERIVATIVES MARKET
BMCM,BMO CAPITAL MARKETS LIMITED
BMLB,BANK OF MONTREAL - LONDON BRANCH - SYSTEMATIC INTERNALISER
BMTF,BLOOMBERG TRADING FACILITY LIMITED
BNPL,BNP PARIBAS SA LONDON BRANCH - SYSTEMATIC INTERNALISER
BNTW,BLOCKMATCH MTF NT
BOAL,"BANK OF AMERICA, NATIONAL ASSOCIATION - LONDON BRANCH OFFICE"
BOAT,CINNOBER BOAT
BOFS,BANK OF SCOTLAND PLC - SYSTEMATIC INTERNALISER
BOSC,BONDSCAPE
BOTC,OFF EXCHANGE IDENTIFIER FOR OTC TRADES REPORTED TO CBOE EUROPE
BPLC,BARCLAYS BANK PLC
BRFQ,BLOCKMATCH MTF RFQ
BRGA,BRYAN GARNIER AND CO LIMITED
BRNX,BERNSTEIN CROSS (BERN-X)
BSLB,"BANCO SANTANDER, LONDON BRANCH - SYSTEMATIC INTERNALISER"
BSPL,BNP PARIBAS SECURITIES SERVICES LONDON BRANCH - SYSTEMATIC INTERNALISER
BTEE,BROKERTEC EUROPE LIMITED - ALL MARKETS
BTLX,BTL OTC BILAT COMMODITY DERIVATIVES
BTQG,BROKERTEC EUROPE LIMITED - RFQ TRADING PROTOCOL
BUYN,LCH LTD - BUY IN
BVUK,BONDVISION UK
CBAL,COMMONWEALTH BANK OF AUSTRALIA - LONDON BRANCH - SYSTEMATIC INTERNALISER
CBNL,CITIBANK N.A. LONDON
CCEU,CITADEL CONNECT EUROPE - SYSTEMATIC INTERNALISER
CCML,CONTINENTAL CAPITAL MARKETS LIMITED - OTF
CCO2,CANTORCO2E.COM LIMITED
CEPU,CITIBANK EUROPE PLC - LONDON BRANCH
CFIC,CHINAFICC
CGMC,CITIGROUP GLOBAL MARKETS  LIMITED - EMEA LIQUIDITY HUB
CGMG,CITIGROUP GLOBAL MARKETS EUROPE AG - LONDON BRANCH - SYSTEMATIC INTERNALISER
CGML,CITIGROUP GLOBAL MARKETS LIMITED
CGMT,CITIGROUP GLOBAL MARKETS  LIMITED - EMEA TRADING
CGMU,CITI MATCH GB CONTRA LIQUIDITY
CHEV,CA CHEUVREUX
CHID,CBOE EUROPE - CXE DARK ORDER BOOK
CHIO,CBOE EUROPE - CXE OFF-BOOK
CHIX,CBOE EUROPE - CXE ORDER BOOKS
CIBC,CANADIAN IMPERIAL BANK OF COMMERCE - SYSTEMATIC INTERNALISER
CIBP,CIBC WORLD MARKETS PLC - SYSTEMATIC INTERNALISER
CLCH,LCH LTD - CROSS NETTING
CLVE,VERTO MTF
CMCM,CMC MARKETS UK PLC - SYSTEMATIC INTERNALISER
CMEC,CME CLEARING EUROPE
CMEE,CME  EUROPE
CMMT,CLEAR MARKETS EUROPE LIMITED
CRYP,CRYPTO FACILITIES
CSBX,CREDIT SUISSE AES EUROPE BENCHMARK CROSS
CSCF,CREDIT SUISSE AES CROSSFINDER EUROPE
CSEC,CITADEL SECURITIES FI - SYSTEMATIC INTERNALISER
CSEU,CREDIT SUISSE (EUROPE)
CSIN,CREDIT SUISSE INTERNATIONAL
CSLB,CREDIT SUISSE AG - LONDON BRANCH
CSSI,CREDIT SUISSE INTERNATIONAL - SYSTEMATIC INTERNALISER
CXOT,CREDITEX BROKERAGE LLP - OTF
CXRT,CREDITEX BROKERAGE LLP - MTF
DAIW,DAIWA CAPITAL MARKETS EUROPE LIMITED
DAUK,DANSKE BANK A/S - LONDON BRANCH - SYSTEMATIC INTERNALISER
DOWG,DOWGATE
DRSP,EURONEXT  UK - REPORTING SERVICES
DVFX,DIGITAL VEGA
EBSO,NEX SEF - RFQ - FX PRODUCTS FOR ASSET MANAGERS
ECHO,LONDON STOCK EXCHANGE - APA
ECNL,REFINITIV TRANSACTION SERVICES LIMITED - FX SPOT ECN
ECSL,ENTERPRISE COMMODITY SERVICES LIMITED
EIXE,AQUIS EXCHANGE PLC AQUIS - EIX INFRASTRUCTURE BOND MARKET
ELIX,ELIXIUM
EMBX,EMERGING MARKETS BOND EXCHANGE LIMITED
ENCL,ENCLEAR
EQLD,EQUILEND EUROPE LIMITED
EQSL,EQUILEND EUROPE LIMITED - SWAPS
EVOL,EVOLUTION MARKETS
EXBO,EXANE BNP PARIBAS - BID-OFFER CROSSING
EXCP,EXANE BNP PARIBAS - CLOSING PRICE
EXDC,EXANE BNP PARIBAS - DIRECT CAPITAL ACCESS
EXEU,EXANE BNP PARIBAS
EXLP,EXANE BNP PARIBAS - LIQUIDITY PROVISION
EXMP,EXANE BNP PARIBAS - MID POINT
EXOR,EXANE BNP PARIBAS - CHILD ORDER CROSSING
EXOT,EXOTIX CAPITAL  - OTF
EXSI,EXANE BNP PARIBAS - GB - SYSTEMATIC INTERNALISER
EXVP,EXANE BNP PARIBAS - VOLUME PROFILE CROSSING
FAIR,CANTOR SPREADFAIR
FISU,FREIGHT INVESTOR SERVICES LIMITED
FNUK,FINANTIA UK LIMITED - SYSTEMATIC INTERNALISER
FRTE,FORTE  - OTF
FXGB,FXCM - MTF
FXOP,TRADITION-NEX OTF
GEMX,GEMMA (GILT EDGED MARKET MAKERS’ASSOCIATION)
GFBM,GFI BROKERS - MTF
GFBO,GFI BROKERS - OTF
GFIB,GFI BROKERS
GFIC,GFI SECURITIES LTD
GFIF,GFI FOREXMATCH
GFIN,GFI ENERGYMATCH
GFIR,GFI RATESMATCH
GFOX,GLOBAL FUTURES AND OPTIONS LTD
GFSM,GFI SECURITIES LTD - MTF
GFSO,GFI SECURITIES LTD - OTF
GMEG,GMEX EXCHANGE
GMGL,GMG BROKERS LIMITED
GRIF,GRIFFIN MARKETS LIMITED
GRIO,GRIFFIN MARKETS LIMITED - OTF
GRSE,THE GREEN STOCK EXCHANGE - ACB IMPACT MARKETS
GSIB,GOLDMAN SACHS INTERNATIONAL BANK
GSIL,GOLDMAN SACHS INTERNATIONAL
